nom_un,id_famille_noeud_telecom_fk,id_type_noeud_telecom_fk,id_sous_type_noeud_telecom_fk,id_disponibilite_fk,id_statut_fk,id_etat_fk,id_param_etat_objet_fk,id_type_pose_fk,id_reference_noeud_telecom_fk,geometry,id_type_propriete_fk,Unnamed: 12,commentaire
Adam A,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),2.0,,commentaire 0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Adam B,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 3
Adam C,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 4
Adam D,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 5
Adam E,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 6
Adam F,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 7
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Adam 0,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 11
Adam 1,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 12
Adam 2,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 13
Adam 3,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 14
Adam 4,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 15
Adam 5,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 16
Adam 6,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 17
Adam 7,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 18
Adam 8,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 19
Adam 9,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 20
Adam 10,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 21
Adam 11,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 22
Adam 12,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 23
Adam 13,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 24
Adam 14,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 25
Adam 15,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 26
Adam 16,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 27
Adam 17,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 28
Adam 18,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 29
Adam 19,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 30
Adam 20,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 31
Adam 21,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 32
Adam 22,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 33
