geometry,nom,id_type_zone_influence_fk,id_statut_fk,id_prestataire_fk,id_etat_fk,date_previsionnelle_livraison,geometry_ll
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"POLYGON ((387173.7929286 589436.0920133, 387178.70419801 589558.18327991, 387177.64401414 589627.46017851, 387183.56313336 589648.58341022, 387141.05024206 589679.29459232, 387120.02394207 589743.36409572, 387115.95630886 589756.30601708, 387110.13896116 589763.23651851, 387103.93962028 589767.00571533, 387095.56703732 589769.99355031, 387086.60341335 589770.72699618, 387055.31893092 589769.67317032, 387049.08994927 589768.92063012, 386941.22444926 589755.95390466, 386913.62630174 589752.63866893, 386798.85421522 589737.99207086, 386798.85421448 589737.99207093, 386798.85421522 589737.99207086, 386797.58687506 589601.99183891, 386796.87024932 589525.19861426, 386738.83960583 589527.34278014, 386737.80450802 589484.22837817, 386796.19425189 589484.75888614, 386795.42220883 589432.47258492, 386736.74977877 589432.60933131, 386737.53745858 589473.10510373, 386689.07170715 589472.93497805, 386687.03459053 589432.42011437, 386552.3797322 589436.59050275, 386554.14558289 589638.81950382, 386554.03397998 589651.95357536, 386544.24940973 589652.14672304, 386507.84036506 589648.18293429, 386474.05234534 589641.05286425, 386482.64069729 589621.20458464, 386495.49092767 589598.66267838, 386468.40654381 589611.16752071, 386355.93590186 589681.27113167, 386261.89631471 589739.54778262, 386207.72432231 589775.81246522, 386217.26235334 589795.03631143, 386124.91235721 589830.3938298, 386116.72440313 589802.75229144, 386011.68645485 589605.2395845, 385997.5197473 589555.99877486, 385987.01377179 589495.79559827, 385990.42836337 589436.94010075, 385996.80502016 589399.98111782, 386014.90981603 589348.16140933, 386054.87408647 589361.39915574, 386068.07941117 589365.7662681, 386307.49257053 589365.78556227, 386488.27567595 589366.77256486, 386550.75179201 589367.60420385, 386549.55462622 589316.87258793, 386570.65314566 589316.60538944, 386672.62349031 589315.70650407, 386672.06417092 589192.34744843, 386549.0395382 589193.5135025, 386547.62505868 589075.72800641, 386546.13429131 588952.01676427, 386545.82947651 588905.9693334, 386670.44437823 588904.10853216, 386670.66163239 588918.65769832, 386790.91950938 588921.02899932, 386791.47349122 588948.51447563, 386907.98185662 588946.85124439, 386907.68161184 588915.1647204, 386936.70122483 588914.8255206, 386941.10841176 588914.84999478, 386940.47974928 588891.68536175, 386966.56391447 588891.19233477, 387025.47706652 588889.41410662, 387025.48763176 588891.59947302, 387150.76757717 588893.61479314, 387166.2045312 588893.85465456, 387196.66844007 588894.34611991, 387204.02359422 588892.54295979, 387211.39119279 588905.00165569, 387204.12446997 588920.10469794, 387215.02561186 588924.9622864, 387224.54156662 588929.82216108, 387234.12536845 588936.54391123, 387243.43619501 588943.65486668, 387252.03816147 588952.02091383, 387258.50165609 588960.54526811, 387263.72451623 588969.37017282, 387344.90743626 589009.61181778, 387344.94613382 589033.09409019, 387352.06888271 589071.83262896, 387345.07191154 589109.41147658, 387325.12409741 589142.32405315, 387283.96920772 589163.51938617, 387248.72959321 589203.49970922, 387231.09623757 589215.26997671, 387196.97703776 589222.36878039, 387175.90316355 589284.63621689, 387163.07499254 589360.96398227, 387173.7929286 589436.0920133))",sang A,3.0,3.0,3.0,4.0,2025-12-23,"POLYGON ((393423.06895786815 652945.7716116655, 368981.4638573586 663696.0796777023, 368981.4638573586 641218.1797582556, 393423.06895786815 652945.7716116655))"
"POLYGON ((387173.7929286 589436.0920133, 387178.70419801 589558.18327991, 387177.64401414 589627.46017851, 387183.56313336 589648.58341022, 387141.05024206 589679.29459232, 387120.02394207 589743.36409572, 387115.95630886 589756.30601708, 387110.13896116 589763.23651851, 387103.93962028 589767.00571533, 387095.56703732 589769.99355031, 387086.60341335 589770.72699618, 387055.31893092 589769.67317032, 387049.08994927 589768.92063012, 386941.22444926 589755.95390466, 386913.62630174 589752.63866893, 386798.85421522 589737.99207086, 386798.85421448 589737.99207093, 386798.85421522 589737.99207086, 386797.58687506 589601.99183891, 386796.87024932 589525.19861426, 386738.83960583 589527.34278014, 386737.80450802 589484.22837817, 386796.19425189 589484.75888614, 386795.42220883 589432.47258492, 386736.74977877 589432.60933131, 386737.53745858 589473.10510373, 386689.07170715 589472.93497805, 386687.03459053 589432.42011437, 386552.3797322 589436.59050275, 386554.14558289 589638.81950382, 386554.03397998 589651.95357536, 386544.24940973 589652.14672304, 386507.84036506 589648.18293429, 386474.05234534 589641.05286425, 386482.64069729 589621.20458464, 386495.49092767 589598.66267838, 386468.40654381 589611.16752071, 386355.93590186 589681.27113167, 386261.89631471 589739.54778262, 386207.72432231 589775.81246522, 386217.26235334 589795.03631143, 386124.91235721 589830.3938298, 386116.72440313 589802.75229144, 386011.68645485 589605.2395845, 385997.5197473 589555.99877486, 385987.01377179 589495.79559827, 385990.42836337 589436.94010075, 385996.80502016 589399.98111782, 386014.90981603 589348.16140933, 386054.87408647 589361.39915574, 386068.07941117 589365.7662681, 386307.49257053 589365.78556227, 386488.27567595 589366.77256486, 386550.75179201 589367.60420385, 386549.55462622 589316.87258793, 386570.65314566 589316.60538944, 386672.62349031 589315.70650407, 386672.06417092 589192.34744843, 386549.0395382 589193.5135025, 386547.62505868 589075.72800641, 386546.13429131 588952.01676427, 386545.82947651 588905.9693334, 386670.44437823 588904.10853216, 386670.66163239 588918.65769832, 386790.91950938 588921.02899932, 386791.47349122 588948.51447563, 386907.98185662 588946.85124439, 386907.68161184 588915.1647204, 386936.70122483 588914.8255206, 386941.10841176 588914.84999478, 386940.47974928 588891.68536175, 386966.56391447 588891.19233477, 387025.47706652 588889.41410662, 387025.48763176 588891.59947302, 387150.76757717 588893.61479314, 387166.2045312 588893.85465456, 387196.66844007 588894.34611991, 387204.02359422 588892.54295979, 387211.39119279 588905.00165569, 387204.12446997 588920.10469794, 387215.02561186 588924.9622864, 387224.54156662 588929.82216108, 387234.12536845 588936.54391123, 387243.43619501 588943.65486668, 387252.03816147 588952.02091383, 387258.50165609 588960.54526811, 387263.72451623 588969.37017282, 387344.90743626 589009.61181778, 387344.94613382 589033.09409019, 387352.06888271 589071.83262896, 387345.07191154 589109.41147658, 387325.12409741 589142.32405315, 387283.96920772 589163.51938617, 387248.72959321 589203.49970922, 387231.09623757 589215.26997671, 387196.97703776 589222.36878039, 387175.90316355 589284.63621689, 387163.07499254 589360.96398227, 387173.7929286 589436.0920133))",sang B,3.0,3.0,3.0,4.0,2025-12-23,"POLYGON ((393423.06895786815 652945.7716116655, 368981.4638573586 663696.0796777023, 368981.4638573586 641218.1797582556, 393423.06895786815 652945.7716116655))"
"POLYGON ((387173.7929286 589436.0920133, 387178.70419801 589558.18327991, 387177.64401414 589627.46017851, 387183.56313336 589648.58341022, 387141.05024206 589679.29459232, 387120.02394207 589743.36409572, 387115.95630886 589756.30601708, 387110.13896116 589763.23651851, 387103.93962028 589767.00571533, 387095.56703732 589769.99355031, 387086.60341335 589770.72699618, 387055.31893092 589769.67317032, 387049.08994927 589768.92063012, 386941.22444926 589755.95390466, 386913.62630174 589752.63866893, 386798.85421522 589737.99207086, 386798.85421448 589737.99207093, 386798.85421522 589737.99207086, 386797.58687506 589601.99183891, 386796.87024932 589525.19861426, 386738.83960583 589527.34278014, 386737.80450802 589484.22837817, 386796.19425189 589484.75888614, 386795.42220883 589432.47258492, 386736.74977877 589432.60933131, 386737.53745858 589473.10510373, 386689.07170715 589472.93497805, 386687.03459053 589432.42011437, 386552.3797322 589436.59050275, 386554.14558289 589638.81950382, 386554.03397998 589651.95357536, 386544.24940973 589652.14672304, 386507.84036506 589648.18293429, 386474.05234534 589641.05286425, 386482.64069729 589621.20458464, 386495.49092767 589598.66267838, 386468.40654381 589611.16752071, 386355.93590186 589681.27113167, 386261.89631471 589739.54778262, 386207.72432231 589775.81246522, 386217.26235334 589795.03631143, 386124.91235721 589830.3938298, 386116.72440313 589802.75229144, 386011.68645485 589605.2395845, 385997.5197473 589555.99877486, 385987.01377179 589495.79559827, 385990.42836337 589436.94010075, 385996.80502016 589399.98111782, 386014.90981603 589348.16140933, 386054.87408647 589361.39915574, 386068.07941117 589365.7662681, 386307.49257053 589365.78556227, 386488.27567595 589366.77256486, 386550.75179201 589367.60420385, 386549.55462622 589316.87258793, 386570.65314566 589316.60538944, 386672.62349031 589315.70650407, 386672.06417092 589192.34744843, 386549.0395382 589193.5135025, 386547.62505868 589075.72800641, 386546.13429131 588952.01676427, 386545.82947651 588905.9693334, 386670.44437823 588904.10853216, 386670.66163239 588918.65769832, 386790.91950938 588921.02899932, 386791.47349122 588948.51447563, 386907.98185662 588946.85124439, 386907.68161184 588915.1647204, 386936.70122483 588914.8255206, 386941.10841176 588914.84999478, 386940.47974928 588891.68536175, 386966.56391447 588891.19233477, 387025.47706652 588889.41410662, 387025.48763176 588891.59947302, 387150.76757717 588893.61479314, 387166.2045312 588893.85465456, 387196.66844007 588894.34611991, 387204.02359422 588892.54295979, 387211.39119279 588905.00165569, 387204.12446997 588920.10469794, 387215.02561186 588924.9622864, 387224.54156662 588929.82216108, 387234.12536845 588936.54391123, 387243.43619501 588943.65486668, 387252.03816147 588952.02091383, 387258.50165609 588960.54526811, 387263.72451623 588969.37017282, 387344.90743626 589009.61181778, 387344.94613382 589033.09409019, 387352.06888271 589071.83262896, 387345.07191154 589109.41147658, 387325.12409741 589142.32405315, 387283.96920772 589163.51938617, 387248.72959321 589203.49970922, 387231.09623757 589215.26997671, 387196.97703776 589222.36878039, 387175.90316355 589284.63621689, 387163.07499254 589360.96398227, 387173.7929286 589436.0920133))",sang C,3.0,3.0,3.0,4.0,2025-12-23,"POLYGON ((393423.06895786815 652945.7716116655, 368981.4638573586 663696.0796777023, 368981.4638573586 641218.1797582556, 393423.06895786815 652945.7716116655))"
"POLYGON ((387173.7929286 589436.0920133, 387178.70419801 589558.18327991, 387177.64401414 589627.46017851, 387183.56313336 589648.58341022, 387141.05024206 589679.29459232, 387120.02394207 589743.36409572, 387115.95630886 589756.30601708, 387110.13896116 589763.23651851, 387103.93962028 589767.00571533, 387095.56703732 589769.99355031, 387086.60341335 589770.72699618, 387055.31893092 589769.67317032, 387049.08994927 589768.92063012, 386941.22444926 589755.95390466, 386913.62630174 589752.63866893, 386798.85421522 589737.99207086, 386798.85421448 589737.99207093, 386798.85421522 589737.99207086, 386797.58687506 589601.99183891, 386796.87024932 589525.19861426, 386738.83960583 589527.34278014, 386737.80450802 589484.22837817, 386796.19425189 589484.75888614, 386795.42220883 589432.47258492, 386736.74977877 589432.60933131, 386737.53745858 589473.10510373, 386689.07170715 589472.93497805, 386687.03459053 589432.42011437, 386552.3797322 589436.59050275, 386554.14558289 589638.81950382, 386554.03397998 589651.95357536, 386544.24940973 589652.14672304, 386507.84036506 589648.18293429, 386474.05234534 589641.05286425, 386482.64069729 589621.20458464, 386495.49092767 589598.66267838, 386468.40654381 589611.16752071, 386355.93590186 589681.27113167, 386261.89631471 589739.54778262, 386207.72432231 589775.81246522, 386217.26235334 589795.03631143, 386124.91235721 589830.3938298, 386116.72440313 589802.75229144, 386011.68645485 589605.2395845, 385997.5197473 589555.99877486, 385987.01377179 589495.79559827, 385990.42836337 589436.94010075, 385996.80502016 589399.98111782, 386014.90981603 589348.16140933, 386054.87408647 589361.39915574, 386068.07941117 589365.7662681, 386307.49257053 589365.78556227, 386488.27567595 589366.77256486, 386550.75179201 589367.60420385, 386549.55462622 589316.87258793, 386570.65314566 589316.60538944, 386672.62349031 589315.70650407, 386672.06417092 589192.34744843, 386549.0395382 589193.5135025, 386547.62505868 589075.72800641, 386546.13429131 588952.01676427, 386545.82947651 588905.9693334, 386670.44437823 588904.10853216, 386670.66163239 588918.65769832, 386790.91950938 588921.02899932, 386791.47349122 588948.51447563, 386907.98185662 588946.85124439, 386907.68161184 588915.1647204, 386936.70122483 588914.8255206, 386941.10841176 588914.84999478, 386940.47974928 588891.68536175, 386966.56391447 588891.19233477, 387025.47706652 588889.41410662, 387025.48763176 588891.59947302, 387150.76757717 588893.61479314, 387166.2045312 588893.85465456, 387196.66844007 588894.34611991, 387204.02359422 588892.54295979, 387211.39119279 588905.00165569, 387204.12446997 588920.10469794, 387215.02561186 588924.9622864, 387224.54156662 588929.82216108, 387234.12536845 588936.54391123, 387243.43619501 588943.65486668, 387252.03816147 588952.02091383, 387258.50165609 588960.54526811, 387263.72451623 588969.37017282, 387344.90743626 589009.61181778, 387344.94613382 589033.09409019, 387352.06888271 589071.83262896, 387345.07191154 589109.41147658, 387325.12409741 589142.32405315, 387283.96920772 589163.51938617, 387248.72959321 589203.49970922, 387231.09623757 589215.26997671, 387196.97703776 589222.36878039, 387175.90316355 589284.63621689, 387163.07499254 589360.96398227, 387173.7929286 589436.0920133))",sang D,3.0,3.0,3.0,4.0,2025-12-23,"POLYGON ((393423.06895786815 652945.7716116655, 368981.4638573586 663696.0796777023, 368981.4638573586 641218.1797582556, 393423.06895786815 652945.7716116655))"
